城 市,年份,index,Innt,Innp,Inns,open,pgdp,une,gov,hc,consum,infra,str
  清远市,2021.0,289.52,0.51195,0.44177999999999995,0.44027,0.11821046707934721,7.482681828154651,12.7520906874451,0.06956668542487339,0.11127300240942871,0.29268036015756893,3.133753571451366,2.3347999999999995
  东莞市,2021.0,288.87,0.97952,0.99315,0.9863500000000001,0.8581212435233161,9.174713194333032,14.86740014379116,0.07199481865284973,2.599321055011581,0.38757930569948185,2.1138429683971682,2.4557
  中山市,2021.0,287.75,0.90444,0.9726,0.9727,0.5758248730964467,8.05579245097777,13.532289188434289,0.09122461928934011,1.7260291270427348,0.4464539657360406,1.6154199841116479,2.4604
  潮州市,2021.0,320.6,0.43345,0.4863,0.77133,0.1390337283500456,7.00033446027523,12.063310206162777,0.04432999088422972,0.7464035468603768,0.4055379216043756,2.0744289998562917,2.3319
  揭阳市,2021.0,317.16,0.50853,0.18835999999999997,0.6791800000000001,0.0861465271170314,7.650644551436897,12.471374897574693,0.035190294957183635,0.14738498691305832,0.4544058515699334,2.6253929674212007,2.4371
  云浮市,2021.0,295.44,0.23207999999999998,0.21917999999999999,0.40273000000000003,0.06711576846307385,6.90975328164481,12.056591878002335,0.06575848303393214,0.6725872665945841,0.3365705588822355,1.8229350866965048,2.3034
  南宁市,2021.0,290.36,0.87713,0.79452,0.7269599999999999,0.09961701227253492,8.460834457746854,13.90870030943039,0.07876639864578926,4.040866426666019,0.4613541684299619,3.6640743351949654,2.5446000000000004
  柳州市,2021.0,275.84,0.62799,0.62329,0.48123,0.025048788164935474,8.063692634269517,13.290653620785307,0.054491658797607805,2.3364259761627637,0.3998085930122757,2.7414849771884473,2.3821
  桂林市,2021.0,308.18,0.63823,0.46232999999999996,0.35495,0.030380281690140842,7.6638772587034705,12.865189817888389,0.052342723004694836,3.2364720983863564,0.41733,3.948354934675536,2.3164
  梧州市,2021.0,291.27,0.36518999999999996,0.2774,0.32423,0.029084181313598523,6.985641817639208,12.06473371035525,0.07030527289546716,1.023816900811163,0.26272839962997224,2.4087452888224363,2.3237
  北海市,2021.0,289.09,0.38908000000000004,0.65411,0.63823,0.10079874706342991,7.152268856032539,11.89086177564879,0.0621848081440877,1.5908054002860983,0.24606679718089272,2.6311691567662523,2.2952
  防城港市,2021.0,274.54,0.13311,0.57192,0.34130000000000005,0.3302592087312415,6.597145701886651,11.343121238495005,0.0732469304229195,-0.6489389258956251,0.176456343792633,1.763017000362401,2.2224
  钦州市,2021.0,290.07,0.27986,0.13356,0.29352,0.05884726224783862,7.23561914106675,12.218342067390056,0.046858789625360234,1.116091958548755,0.28999625360230546,2.3813962734183356,2.3112000000000004
  玉林市,2021.0,266.67,0.44027,0.10615999999999999,0.43003,0.011641113003975015,7.473637108496206,12.662329088732065,0.05779102782509937,0.5418590663461637,0.4278706984667802,3.040705639196722,2.3464
  百色市,2021.0,268.19,0.30034,0.15753,0.09215,0.22625937031484256,7.195937226475569,12.346933983348633,0.0708095952023988,2.006090974929904,0.2849691154422789,3.3083508312958037,2.2135000000000002
  贺州市,2021.0,267.79,0.19454000000000002,0.24315,0.25256,0.015822281167108754,6.625392368007956,11.631179500799725,0.05420424403183024,0.6780335427498971,0.2407153846153846,2.0541237336955462,2.2758
  河池市,2021.0,260.67,0.22184,0.05479,0.07167,0.010700431034482758,6.833031732786201,12.299713250551667,0.0547198275862069,1.1242800354166875,0.29918081896551724,3.2035591207563074,2.2866999999999997
  来宾市,2021.0,275.57,0.14334,0.12329000000000001,0.15017,0.013314447592067988,6.559615237493242,11.832651114130682,0.05582152974504249,0.9765576426608039,0.1838154390934844,2.4150205223238337,2.2265999999999995
  崇左市,2021.0,256.48,0.12287000000000001,0.14384,0.14334,1.531372064276885,6.695798917058491,11.778706960968671,0.041804697156983935,2.332687436810489,0.28113646477132265,2.179286876649552,2.2670000000000003
  海口市,2021.0,271.14,0.8157,0.93836,0.93174,0.06154017857142857,7.491087593534876,13.236968034027871,0.10382254464285715,2.750662591906086,0.4664544642857143,2.659559991941776,2.7603
  三亚市,2021.0,269.07,0.36177,0.8698600000000001,0.8020499999999999,0.005453237410071942,6.543911845564792,11.925591252515094,0.15886330935251797,1.8049718007001898,0.5482705035971223,1.667706820558076,2.6094999999999997
  成都市,2021.0,320.39,0.98976,0.95205,0.95904,0.2318027882824406,9.782279909600437,16.25203196159248,0.08581475419089012,4.52948820650374,0.4582342495907885,4.126811752359602,2.6201
  广元市,2021.0,272.89,0.18771000000000002,0.17123000000000002,0.18771000000000002,0.0024305555555555556,6.915723448631314,12.016611663583436,0.05220238095238095,0.6454788868584441,0.4159169642857143,2.0781907597781832,2.2391
  乐山市,2021.0,264.69,0.35836,0.28082,0.3686,0.018467299051422865,7.602401335665818,12.350592814784877,0.060219670494258616,1.607876694367146,0.37359370943584624,2.8419981736119486,2.2995
  达州市,2021.0,270.4,0.26280000000000003,0.020550000000000002,0.27645,0.01094000944733113,7.6577552711348655,13.151491018748205,0.05306093528578176,1.220800422432195,0.5125210203117619,2.9543893100196086,2.2882
  雅安市,2021.0,265.63,0.17747,0.45205,0.19795000000000001,0.006384105960264901,6.626717749249025,13.608486388529947,0.06422516556291391,1.674401343284752,0.3494096688741722,2.432735777459091,2.2981
  贵阳市,2021.0,256.6,0.88737,0.89726,0.88737,0.07959647495361782,8.369157112588834,13.940094415517828,0.09233070500927644,3.7846713360629702,0.5074815398886827,6.795414905134433,2.5572
  遵义市,2021.0,272.77,0.72355,0.42808,0.40613999999999995,0.008518817204301076,8.221478947267192,13.108813997737832,0.06953225806451614,2.3919595091394994,0.2788521505376344,4.543294782270004,2.3025
  安顺市,2021.0,266.95,0.40273000000000003,0.41096,0.41979999999999995,0.0040641158221303,6.874198495453294,12.06940491115224,0.06931747673216132,0.8434619412188133,0.5098644260599793,4.4277167605909975,2.333
